,country,2000,2100,diff,Рівень населення
109,Anguilla,11.247,13.635,2.388,зросте
110,Antigua and Barbuda,76.007,102.048,26.040999999999997,зросте
111,Aruba,90.866,102.235,11.369,зросте
112,Bahamas,298.045,460.116,162.07099999999997,зросте
113,Barbados,271.511,214.788,-56.72300000000001,впаде
114,"Bonaire, Sint Eustatius and Saba",14.387,32.606,18.219,зросте
115,British Virgin Islands,20.313,24.857,4.5440000000000005,зросте
116,Cayman Islands,42.305,102.667,60.362,зросте
117,Cuba,11126.423,6671.461,-4454.962,впаде
118,Curacao,132.147,175.041,42.894000000000005,зросте
119,Dominica,69.65,51.345,-18.305000000000007,впаде
120,Dominican Republic,8471.317,11012.548,2541.2310000000016,зросте
121,Grenada,102.837,86.183,-16.653999999999996,впаде
122,Guadeloupe,422.048,338.669,-83.37900000000002,впаде
123,Haiti,8463.802,14760.45,6296.648000000001,зросте
124,Jamaica,2654.698,1793.106,-861.5919999999999,впаде
125,Martinique,387.016,234.041,-152.97500000000002,впаде
126,Montserrat,4.925,2.878,-2.0469999999999997,впаде
127,Puerto Rico,3668.955,1216.779,-2452.176,впаде
128,Saint Barthelemy,7.416,10.139,2.722999999999999,зросте
129,Saint Kitts and Nevis,44.083,43.395,-0.6879999999999953,впаде
130,Saint Lucia,156.737,122.091,-34.646,впаде
131,Saint Martin (French part),28.935,60.194,31.259000000000004,зросте
132,Saint Vincent and the Grenadines,107.787,74.618,-33.16900000000001,впаде
133,Sint Maarten (Dutch part),32.564,69.222,36.657999999999994,зросте
134,Trinidad and Tobago,1267.159,968.826,-298.3330000000001,впаде
135,Turks and Caicos Islands,20.171,53.609,33.438,зросте
136,United States Virgin Islands,108.73,40.462,-68.268,впаде
137,Belize,247.31,620.439,373.12899999999996,зросте
138,Costa Rica,3962.369,4797.969,835.5999999999999,зросте
139,El Salvador,5887.93,4766.079,-1121.8510000000006,впаде
140,Guatemala,11650.744,31270.073,19619.328999999998,зросте
141,Honduras,6574.51,14325.309,7750.798999999999,зросте
142,Mexico,98899.845,141509.942,42610.09700000001,зросте
143,Nicaragua,5069.31,8124.405,3055.0949999999993,зросте
144,Panama,3030.333,6439.999,3409.6659999999997,зросте
145,Argentina,36870.796,56802.493,19931.697,зросте
146,Bolivia (Plurinational State of),8418.27,17390.956,8972.685999999998,зросте
147,Brazil,174790.339,180682.762,5892.422999999981,зросте
148,Chile,15342.35,17332.335,1989.9849999999988,зросте
149,Colombia,39629.965,45221.276,5591.3110000000015,зросте
150,Ecuador,12681.123,24482.822,11801.699,зросте
151,Falkland Islands (Malvinas),2.893,2.717,-0.1759999999999997,впаде
152,French Guiana,163.163,927.143,763.98,зросте
153,Guyana,746.718,530.598,-216.12,впаде
154,Paraguay,5323.202,8733.633,3410.4309999999996,зросте
155,Peru,26459.944,39158.18,12698.236,зросте
156,Suriname,470.944,613.122,142.17799999999994,зросте
157,Uruguay,3319.734,3181.955,-137.779,впаде
158,Venezuela (Bolivarian Republic of),24192.449,34240.724,10048.275000000001,зросте
159,Australia,18991.434,42876.774,23885.339999999997,зросте
160,New Zealand,3858.992,6008.35,2149.358,зросте
161,Fiji,811.011,1066.581,255.56999999999994,зросте
162,New Caledonia,217.263,355.991,138.72799999999998,зросте
163,Papua New Guinea,5847.59,19782.704,13935.114000000001,зросте
164,Solomon Islands,412.665,2409.767,1997.1019999999999,зросте
165,Vanuatu,184.964,968.068,783.104,зросте
166,Guam,155.323,167.922,12.59899999999999,зросте
167,Kiribati,84.405,239.471,155.066,зросте
168,Marshall Islands,50.754,63.211,12.457,зросте
169,Micronesia (Fed. States of),107.405,114.734,7.3289999999999935,зросте
170,Nauru,10.335,5.794,-4.541000000000001,впаде
171,Northern Mariana Islands,57.453,53.39,-4.063000000000002,впаде
172,Palau,19.104,14.251,-4.853,впаде
173,American Samoa,57.816,36.156,-21.660000000000004,впаде
174,Cook Islands,17.935,13.786,-4.148999999999999,впаде
